survey_id,response_date,vessel_name,vessel_type,flag_country,crew_size,safety_rating,satisfaction_rating,maintenance_rating,port_of_survey
SUR-2024-001,2024-01-15,Atlantic Star,Cargo,Panama,22,4,3,4,Rotterdam
SUR-2024-002,2024-01-18,Pacific Dawn,Tanker,Liberia,18,5,4,5,Houston
SUR-2024-003,2024-01-22,Northern Wind,Cargo,Marshall Islands,20,3,3,3,Singapore
SUR-2024-004,2024-01-25,Ocean Spirit,Passenger,Bahamas,85,5,5,4,Miami
SUR-2024-005,2024-02-01,Blue Horizon,Container,Singapore,24,4,4,4,Shanghai
SUR-2024-006,2024-02-05,Golden Wave,Bulk Carrier,Greece,21,4,3,4,Antwerp
SUR-2024-007,2024-02-10,Silver Mist,Tanker,Norway,19,5,4,5,Oslo
SUR-2024-008,2024-02-14,Crimson Tide,Cargo,Malta,17,3,2,3,Piraeus
SUR-2024-009,2024-02-18,Emerald Sea,Container,South Korea,26,4,4,4,Busan
SUR-2024-010,2024-02-22,Polar Express,Passenger,Italy,92,5,5,5,Genoa
SUR-2024-011,2024-03-01,Storm Rider,Bulk Carrier,Japan,23,4,3,4,Yokohama
SUR-2024-012,2024-03-05,Sunset Queen,Tanker,UK,20,5,4,5,Southampton
SUR-2024-013,2024-03-10,Thunder Bay,Cargo,Cyprus,18,3,3,2,Hamburg
SUR-2024-014,2024-03-15,Wind Runner,Container,China,28,4,4,4,Ningbo
SUR-2024-015,2024-03-20,Aurora Borealis,Passenger,Finland,78,5,5,5,Helsinki
SUR-2024-016,2024-03-25,Iron Duke,Bulk Carrier,Denmark,22,4,3,4,Aarhus
SUR-2024-017,2024-04-01,Sea Dragon,Tanker,Liberia,19,4,4,4,Fujairah
SUR-2024-018,2024-04-05,Harbor Light,Cargo,Panama,16,2,2,2,Buenos Aires
SUR-2024-019,2024-04-10,Morning Star,Container,Taiwan,25,5,4,5,Kaohsiung
SUR-2024-020,2024-04-14,Voyager One,Passenger,USA,88,5,5,4,Los Angeles
